No data,AFR,0.030128859591208788,-60.235582703923072,0.41338096668961338,0.013130839228905598,0.010360838571005285
Subtropical dry forest,AFR,0.020796500191208791,-41.209605869780219,0.17871657657617085,0.13207539012791897,0.012869561264817239
Subtropical humid forest,AFR,0.0021467053362637391,-3.773949246120885,0.0021494428644166317,0.87494483570952974,0.013352162592700905
Subtropical mountain system,AFR,-0.083445823043956036,169.55987069481316,0.13951210387157612,0.18834654077034815,0.059824684705051076
Subtropical steppe,AFR,0.0040142516153846147,-7.9616089646703285,0.06677914962133738,0.37236696053197993,0.0043319730117963627
Tropical desert,AFR,-0.0039279886197802196,8.0395581930659343,0.045831842861517147,0.46238058827101969,0.0051737852368554807
Tropical dry forest,AFR,0.015138900538461536,-30.006329783032964,0.18458076635471016,0.12523929972356659,0.0091854611752712201
Tropical moist deciduous forest,AFR,0.019171692492307695,-38.252895590021986,0.53896730441314666,0.0027939685208907116,0.0051186387983821399
Tropical mountain system,AFR,0.017793550461538462,-35.407359612538464,0.3229536017302444,0.033980262919029385,0.0074372287785399536
Tropical rainforest,AFR,0.025028243193406595,-49.953183427978026,0.38678175986437047,0.017564445010367059,0.0090973369992693419
Tropical shrubland,AFR,0.068286695808791209,-136.29317031093407,0.41468819112291516,0.012940881206987817,0.023419535923264651
Water,AFR,0.0060252159384615424,-11.752488258747261,0.02267271584452615,0.60738017966504931,0.01141958265511633
Subtropical desert,AUS,-0.1893736985802198,381.55346315479119,0.13465671833002812,0.19683993047152459,0.13858277015705289
Subtropical dry forest,AUS,-0.00065840393186813008,2.0702154958681285,6.8940600234303261e-05,0.97752597291962995,0.022890184425851164
Subtropical humid forest,AUS,0.020339135351648351,-40.427715952791203,0.21164250205971241,0.097885572554787942,0.011331881414425093
Subtropical steppe,AUS,-0.091679711248351628,185.06173910478017,0.22429236724211787,0.087153022799950436,0.049218049515510662
Temperate mountain system,AUS,0.0012745633318681335,-2.2038217301538494,0.00038174151896801966,0.94714309948348685,0.018827956595099459
Temperate oceanic forest,AUS,0.009854285819780215,-19.328902821351637,0.054129951668794009,0.42345491134243651,0.011891357851177488
Tropical dry forest,AUS,0.0093615587978021983,-18.702539812802197,0.32055852336753388,0.034800533011726073,0.0039344126645164844
Tropical moist deciduous forest,AUS,0.0015168738637362632,-2.9727381097362628,0.038391195151266086,0.5020101721113116,0.0021915038845696762
Tropical mountain system,AUS,0.0024725216659340662,-4.9083409895054952,0.15686880136211526,0.16094433653967699,0.0016547362223588288
Tropical rainforest,AUS,0.00746899492087912,-14.88038860630769,0.39682072322046263,0.01575730146460648,0.0026582607267734253
Tropical shrubland,AUS,0.0037117356461538464,-7.3654081767252757,0.1151877910468377,0.23517022858553918,0.0029696737699503434
Boreal coniferous forest,EAS,0.025910827826373627,-51.560279545516487,0.21654922407749813,0.093581965138554379,0.014227159717064928
Boreal mountain system,EAS,0.0065086865604395633,-12.735537870439565,0.02432370065500981,0.59443425687275364,0.011899830828006859
Boreal tundra woodland,EAS,-0.0026673638131868129,5.48425473532967,0.009494726250836534,0.74035136678339808,0.0078646392102605395
No data,EAS,0.017843851180219791,-35.476324346934085,0.018844120937173057,0.63980584156330789,0.037168842217297764
Polar,EAS,-0.0051035881340659329,10.314677747065932,0.24467460236104216,0.072156163621056577,0.0025885561763709934
Subtropical desert,EAS,-0.0033049590483516479,6.6585924627802191,0.29203940570726533,0.046032701313494379,0.0014854542275053342
Subtropical dry forest,EAS,0.0063208818285714306,-12.288697431428576,0.024682850863943298,0.59169104183347843,0.011469970970805831
Subtropical humid forest,EAS,0.02195828020879121,-43.741817584505498,0.3097173112786521,0.038740226254891277,0.0094632094091217887
Subtropical mountain system,EAS,0.0022486245780219787,-4.3938460801648365,0.034877073592317495,0.52263806364997678,0.0034146612613228477
Subtropical steppe,EAS,-0.002346726661538462,4.7941155056813196,0.03320221598637485,0.53297250103670712,0.0036555789880259415
Temperate continental forest,EAS,0.0088361021296703302,-17.458142018527475,0.095140506316962914,0.28329464999776077,0.0078664348175302799
Temperate desert,EAS,-0.005332212947252747,10.767376849824176,0.24169831094746289,0.07418443234488141,0.0027264721507563798
Temperate mountain system,EAS,-0.0022470060945054948,4.6667117949340664,0.02055937382510567,0.62482804108580559,0.0044771097720206834
Temperate oceanic forest,EAS,0.016601887804395608,-32.911899441252757,0.10626377565824327,0.25536670310761483,0.013898851365053451
Temperate steppe,EAS,-0.0086906851758241747,17.663431488967031,0.0663326901462164,0.37402690853964027,0.0094122979392861419
Tropical desert,EAS,-0.022158345520879117,44.887110563164832,0.045894117374448824,0.46206934767045815,0.029165302341334121
Tropical dry forest,EAS,0.048301832171428576,-96.433988006428578,0.45034107147554303,0.0086026021973506211,0.015404543987382864
Tropical moist deciduous forest,EAS,0.038908517274725267,-77.70123239601098,0.60749125369917767,0.0010145726673946945,0.0090283567683642398
Tropical mountain system,EAS,0.021735967347252749,-43.361840729538464,0.49571461804164851,0.0049440689717981977,0.0063286441492119106
Tropical rainforest,EAS,0.049831614518681316,-99.15345666396702,0.28183900835401948,0.050785565702275201,0.022962791906255175
Tropical shrubland,EAS,0.013696875771428571,-27.29313056842857,0.30836826900302816,0.039257520561906269,0.005921524182759123
Water,EAS,-0.020490439461538463,41.364783540967032,0.06571033681710399,0.37635684378583889,0.02230409340538959
Boreal coniferous forest,NAM,0.0054425839098901103,-10.369907193890111,0.011223457888092441,0.71850774345314095,0.014746883420189684
Boreal mountain system,NAM,-0.034333543582417581,69.423065769560438,0.059568022978446676,0.40040659323880901,0.039380851941160228
Boreal tundra woodland,NAM,0.015721602982417583,-31.140660094131867,0.096234244855426268,0.28040033370702683,0.013908148564330638
No data,NAM,-0.0036245141303296708,7.2930640381153857,0.29787037877154476,0.043500746944083818,0.0016064017293674546
Polar,NAM,-0.0015892431076923077,3.2229138244065934,0.016606532865687279,0.66061984096051973,0.0035303997881750153
Subtropical desert,NAM,0.017494467665934064,-34.942431220934061,0.19702152581309193,0.11185702499780038,0.010195422353431117
Subtropical dry forest,NAM,-0.018709102630769234,38.038467199626382,0.16173356935502303,0.15401552348910583,0.01229570078381963
Subtropical humid forest,NAM,-0.018692707184615374,39.004141760901078,0.028865558403985688,0.56145464439844261,0.031299058702866749
Subtropical mountain system,NAM,-0.014487967738461539,29.664288154461541,0.055686596951136889,0.41667506336033056,0.017222634490291173
Subtropical steppe,NAM,-0.007908932340659338,16.325895349516479,0.03422119850405593,0.52664417407578812,0.012128817567811289
Temperate continental forest,NAM,-0.0044885604109890101,9.3708014415604381,0.02188888430624621,0.61373072349998881,0.0086616122099093043
Temperate desert,NAM,-0.0092167154351648385,19.384693585450556,0.011590749288787288,0.71411243890046472,0.024569606476375037
Temperate mountain system,NAM,-0.010050771525274727,20.703755098560439,0.045120458027393485,0.46595837563586762,0.013347389135612708
Temperate oceanic forest,NAM,-0.020059853250549455,41.178369508263749,0.076757316008918594,0.33759172782887137,0.020083304631894814
Temperate steppe,NAM,-0.0021400652879120883,4.4731300281978026,0.011372200633733063,0.71671824411484819,0.0057601070179577546
Tropical dry forest,NAM,-0.014354581960439558,29.099561800725269,0.22953400851759925,0.083039820455181282,0.0075919465623482613
Tropical moist deciduous forest,NAM,-0.0048218060241758242,10.184700448604396,0.012498795714225238,0.70356997561175572,0.012372396921500987
Tropical mountain system,NAM,0.0016794449692307694,-3.2111540612307699,0.015265089874427746,0.67389601182492909,0.0038939030940431381
Tropical rainforest,NAM,0.012956002197802196,-25.444248315659337,0.061235204811275569,0.39368226053410582,0.014643948738154978
Tropical shrubland,NAM,-0.035094474228571426,70.997197909714274,0.22847076132652816,0.083859122895604488,0.018616969939300013
Water,NAM,0.0064305740725274707,-12.607724957241755,0.011779141210249222,0.71188814033354864,0.017003147264409813
No data,SAM,-0.012093406250549452,24.453157171406598,0.1067640353484048,0.25418530772520403,0.010097843358514793
Subtropical dry forest,SAM,0.044067370314285717,-86.88294549642859,0.11788738517892987,0.22940938363827043,0.034798046255282676
Subtropical humid forest,SAM,0.011043331364835166,-21.514713834978025,0.044649947862851813,0.46834762016611775,0.014746205046641503
Subtropical mountain system,SAM,0.005310320334065935,-10.545514395637364,0.072931887164273221,0.35042086279092577,0.0054654659477613851
Subtropical steppe,SAM,0.0052606391626373603,-10.337099977637358,0.055344819179643463,0.41815068021132173,0.0062740223236545023
Temperate mountain system,SAM,0.0061871546131868141,-12.351543145329671,0.1338928806152212,0.1982119762083405,0.0045426304479643798
Temperate oceanic forest,SAM,0.010596836125274723,-21.065467277703291,0.11505662753425278,0.23545409451516705,0.0084837432312901504
Temperate steppe,SAM,-0.0039996552989010978,8.1259824471868107,0.099159727457235267,0.27282316408388141,0.0034800715707129937
Tropical desert,SAM,-0.6796501592527473,1367.1427822321759,0.3795923756540418,0.018968197782087987,0.25082719574291468
Tropical dry forest,SAM,0.043915896195604397,-87.358712969747259,0.2510932742878268,0.067956021102288586,0.021894117892642926
Tropical moist deciduous forest,SAM,-0.007931193698901098,16.564863396901096,0.024269292973153174,0.5948520305455629,0.014517250062541552
Tropical mountain system,SAM,0.0023030511582417599,-4.4576166066703333,0.028578844511903723,0.56343399217297541,0.0038760949575636816
Tropical rainforest,SAM,-0.014116486050549451,28.665022173835165,0.22544725646069874,0.086230635887589308,0.0075533394289307434
Tropical shrubland,SAM,0.0059552272373626387,-11.74953814436264,0.047155154216563959,0.45583328046428662,0.0077277706541829362
